date_iso,date_display,source,rating,rating_basis,sentiment,vader_compound,themes,title,job_title,location,employment,pros,cons,body,advice
2019-08-23,"Aug 23, 2019",Indeed,1.0,indeed_topics,negative,-0.4141,Management & Leadership; Pay & Benefits; Workload & Burnout,I wouldn’t recommend this company,Director of Housekeeping and Laundry,"Cleveland, OH",,,,Typical day is stressful I learned a lot from company management is not fair the hardest part is underpaid your not recognized for all you do understaffed all the time long work hours,
2021-12-16,"Dec 16, 2021",Indeed,5.0,indeed_topics,positive,0.7708,Management & Leadership; Pay & Benefits; Meaningful / Patient Work; Flexibility & Schedule,Very supportive in a virtual setting. I feel my job is helping people,Associate Marriage & Family Therapy,"San Diego, CA",,Very supportive,Telehealth can be difficult if you don’t have the experience,"Serene has a case management team who verify insurance, sets up the appointments, match your expertise with the client needs, and a billing department so you can do focus on the client and your job.",
2022-04-13,"Apr 13, 2022",Glassdoor,1.0,glassdoor_overall,negative,-0.3885,Management & Leadership; Pay & Benefits,Save yourself from total mental health deterioration,Anonymous employee,,"Former employee, less than 1 year",I was able to leave,"WORST management. WORST people. Shady shady SHADY people and company. All of upper and senior management are scum of the earth people. Tried having employees take a workshop about the ""art of lying to an insurance company"". For a mental health company they do a FANTASTIC job at ruining their employee's. That's about the only thing they're good at. That and not paying people their bonuses. or their pay in general",,
2022-05-23,"May 23, 2022",Glassdoor,3.0,glassdoor_overall,neutral,-0.8269,Management & Leadership; Pay & Benefits; Career Growth & Advancement; Coworkers & Team,Case management is not equal,Lead care-manager,"San Diego, CA","Current employee, less than 1 year",Great coworkers and the work we do is priceless,"No room for growth , bad benefits , bad pay",,
2022-06-15,"Jun 15, 2022",Indeed,1.6,indeed_topics,negative,0.9194,Management & Leadership; Training & Onboarding; Communication & Organization,Unorganized management,Lead Care Manager,"San Diego, CA",,,,This company is extremely unorganized. They have no policies and procedures set in place. Management has no idea what they’re doing. They provide care management services but provide ZERO training or support to staff and only care about making money. They do not care about their staff and much less the people they serve.,
2022-06-26,"Jun 26, 2022",Glassdoor,4.0,glassdoor_overall,positive,0.765,Management & Leadership,review,Lead care manager,"San Diego, CA",Current employee,Everyone says great things about the management,It seems like many people do not work here long term,,
2022-09-30,"Sep 30, 2022",Indeed,,none,negative,-0.3612,Workload & Burnout; Meaningful / Patient Work; Flexibility & Schedule,The only upside is working remotely,Associate Mental Health Professional,,,,,"Remote They will overload your schedule with patients and many patients may not be appropriate for the services provided. High needs patients and very little supervision given. Also, beware of the productivity checks.",
2022-10-11,"Oct 11, 2022",Glassdoor,2.0,glassdoor_overall,negative,0.2263,Management & Leadership; Training & Onboarding,Not for the faint of heart,Anonymous employee,,Current employee,I can’t think of one,1 week vacation time per year The left hand doesn’t know what the right is doing. No formal training,,Create an actual procedure and process for every department in the company. All upper management should be held by the same standards as lower and mid level employees
2022-12-03,"Dec 03, 2022",Indeed,5.0,indeed_topics,positive,0.9501,Pay & Benefits; Training & Onboarding,Productive and work life balance is great,Clinician II,"San Diego, CA",,,,Staff is helpful and documentation is very simple. Notes turn around time is 72 hours which is really great. Compensation is good. Documentation training is good.,
2023-03-13,"Mar 13, 2023",Glassdoor,2.0,glassdoor_overall,negative,0.9966,Management & Leadership; Micromanagement & Surveillance; Pay & Benefits; Culture & Toxicity; Career Growth & Advancement; Training & Onboarding; Turnover & Retention; Coworkers & Team; Meaningful / Patient Work; Work Conditions & Safety,Not worth deteriorating your mental health for management,Lead care manager,"Cerritos, CA",Former employee,friendships among coworkers; birthday PTO (because who wants to deal with this BS on their birthday),"Where do I even start? It's all about the money and reaching quotas with these people. All lead care managers I've worked with really care for their clients, but middle management especially at the Cerritos location, couldn't care less about these members. Management always seemed too busy or inconvenienced whenever we asked questions. Any concerns shared with our manager/supervisor were deemed as ""complaints"" and us giving ""pushback"". We were often gaslit and manipulated. All our personal achievements were used as success stories by middle management to make them look good. Training is a joke--training consists of sitting in webinars; you don't really learn anything useful. There are very few resources to provide to members in need. It's a requirement to meet members in person every so often (which was fine), but our office is primarily women (except for the supervisor), so the thought of commuting to meet a stranger in person, alone, with no real safety procedures and training set in stone was a major concern when it was first implemented and even is now. When most of us met some of these members and were faced with uncomfortable experiences and inappropriate behavior with a few bad seeds, these concerns were voiced to the manager, but we were gaslit and told ""oh this doesn't happen often"". Thanks for the support. I was told I'd be getting a raise during my first quarterly review. I never saw that come to fruition (been there a year or so). I received a smaller holiday bonus than those whose work quality was way below the standard. I worked hard in this company because I cared for my members, but my successes and achievements didn't amount to anything than to be used as success stories to make the boss man look good (but my documentation template, which I was praised for, was shared with everyone in the office because it was so great -- still no raise though). Turn over rate is ridiculous. They don't promote from within (at least not at Cerritos), they'd rather hire incapable outsiders for managerial roles rather than provide current employees with better opportunities",,"You need better training, better benefits for the BS you put your employees through, and Jesus. Seriously"
